ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-06294	Notre-Dame-de-Bellecombe	NOTRE-DAME-DE-BELLECOMBE	canton d’Ugines	73186	NOTRE-DAME-DE-BELLECOMBE
DT73-06308	Notre-Dame-des-Millières	NOTRE-DAME-DES-MILLIERES	canton de Grésy-sur-Isère	73188	NOTRE-DAME-DES-MILLIERES
DT73-06320	Notre-Dame-du-Cruet	NOTRE-DAME-DU-CRUET	canton de La Chambre	73189	NOTRE-DAME-DU-CRUET
DT73-06321	Notre-Dame-du-Pré	NOTRE-DAME-DU-PRE	canton de Moûtiers	73190	NOTRE-DAME-DU-PRE
DT73-06324	Novalaise	NOVALAISE	canton de Saint-Genix	73191	NOVALAISE
DT73-06329	Noyer	NOYER	canton du Châtelard	73192	NOYER
DT73-06350	Ontex	ONTEX	canton d’Yenne	73193	ONTEX
DT73-06356	Orelle	ORELLE	canton de Saint-Michel	73194	ORELLE
DT73-06424	Pallud	PALLUD	canton d’Albertville	73196	PALLUD
DT73-06583	Perrière	PERRIERE	canton de Bozel	73198	PERRIERE
DT73-06886	Planaise	PLANAISE	canton de Montmélian	73200	PLANAISE
DT73-06890	Planay	PLANAY	canton de Bozel	73201	PLANAY
DT73-06930	Plancherine	PLANCHERINE	canton de Grésy-sur-Isère	73202	PLANCHERINE
DT73-07170	Pont-de-Beauvoisin	PONT-DE-BEAUVOISIN	Chambéry	73204	PONT-DE-BEAUVOISIN
DT73-07185	Pontet	PONTET	canton de Rochette	73205	PONTET
DT73-07422	Presle	PRESLE	canton de La Rochette	73207	PRESLE
DT73-07473	Pugny-Chatenod	PUGNY-CHATENOD	canton d’Aix-les-Bains	73208	PUGNY-CHATENOD
DT73-07498	Puygros	PUYGROS	canton de Chambéry	73210	PUYGROS
DT73-07511	Queige	QUEIGE	canton de Beaufort	73211	QUEIGE
DT73-07566	Randens	RANDENS	canton d’Aiguebelette	73212	RANDENS
DT73-07596	Ravoire	RAVOIRE	canton de Chambéry	73213	RAVOIRE
DT73-07895	Rochefort	ROCHEFORT	canton de Saint-Genix	73214	ROCHEFORT
DT73-07940	Rochette	ROCHETTE	Chambéry	73215	ROCHETTE
DT73-07967	Rognaix	ROGNAIX	canton d’Albertville	73216	ROGNAIX
DT73-08050	Rotherens	ROTHERENS	canton de La Rochette	73217	ROTHERENS
DT73-08103	Ruffieux	RUFFIEUX	Chambéry	73218	RUFFIEUX
DT73-08130	Saint-Alban-de-Montbel	SAINT-ALBAN-DE-MONTBEL	canton de Pont-de-Beauvoisin	73219	SAINT-ALBAN-DE-MONTBEL
DT73-08131	Saint-Alban-des-Villards	SAINT-ALBAN-DES-VILLARDS	canton de La Chambre	73221	SAINT-ALBAN-DES-VILLARDS
DT73-08136	Saint-André	SAINT-ANDRE	canton de Modane	73223	SAINT-ANDRE
