Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00991,"Barreau (bois du),","près du château de la Louère, commune de Marcé-sur-Esves.",Marcé-sur-Esves
DT37-00994,"Barreaux (le lieu des),","près de la Trocherie, commune de Chaumussay.",Trocherie
DT37-00995,"Barreaux (le lieu des),","près du Fourneau, commune de Langeais.",Fourneau
DT37-01001,"Barrelières (le lieu des),","près de la Berjaudière, commune de Preuilly.",Berjaudière
DT37-01014,"Barres (le lieu des),","près de la Roche, commune de Saint-Genouph.",Roche
DT37-01018,"Barrière (le bois de la),","près de Pierrefitte, commune d’Auzouer.",Pierrefitte
DT37-01023,"Barrière (la fosse de la),","près de la Borde-Fresneau, commune de Chemillé-sur-Dême.",Borde-Fresneau
DT37-01026,"Barrière (le lieu de la),","près du moulin de Coutureau, commune de Lémeré.",Coutureau
DT37-01035,"Barrière (le lieu de la),","près de Bors, commune de Saint-Pierre-de-Tournon.",Bors
DT37-01036,"Barrière (la Grande et la Petite-),","village, commune de la Tour-Saint-Gelin,",Tour-Saint-Gelin
DT37-01037,"Barrières (le lieu des),","près des Gaudeberts, commune de Maillé-Lailler.",Gaudeberts
DT37-01038,"Barrières (le lieu des),","près de Belair, commune de Mazières.",Belair
DT37-01041,"Barrou,","commune du canton du Grand-Pressigny, arrondissement de Loches,",Grand-Pressigny
DT37-01042,"Bars (la fontaine de),","près de Beaugaillard, commune de Saint-Avertin.",Beaugaillard
DT37-01048,"Bas (le bois),","commune de Saint-Michel-sur-Loire, près du chemin de la Chaboissière à Commandin.",Saint-Michel-sur-Loire
DT37-01048,"Bas (le bois),","commune de Saint-Michel-sur-Loire, près du chemin de la Chaboissière à Commandin.",Chaboissière
DT37-01051,"Basane (le lieu de la),","près de Confluent, commune d’Yzeures.",Confluent
DT37-01052,"Bas-Banc (le),","ferme, commune du Petit-Pressigny.",Petit-Pressigny
DT37-01073,"Bas-des-Planches (le),","ferme, commune de Villeloin, près du bourg.",Villeloin
DT37-01075,"Basile (île),","dans la Loire, paroisse de Chouzé.",Chouzé
DT37-01078,"Basmort (le lieu de),","près du Tremblay, commune de Saint-Paterne.",Tremblay
DT37-01080,"Bas-Nains (les),","ferme, commune de Couesmes.",Couesmes
DT37-01081,"Bassonnillerie (le lieu de la),","près du bois de la Persillère, commune de Lerné.",Persillère
DT37-01089,"Basse (le bois de),","commune de Rilly, près du chemin de la Goupillère au Vignau.",Goupillère
DT37-01094,"Basse-Cour (la),","ferme, commune des Essarts.",Essarts
DT37-01099,"Basse-Cour-de-Gatines (la),","ferme, commune de Villedômer, près de Gatines.",Gatines
DT37-01120,"Basses-Mottes (le lieu des),","près de l’Indre, commune de Huismes.",Indre
DT37-01121,"Basses-Tailles (les),","ferme, commune de Betz, près du Brignon.",Brignon
DT37-01127,"Bassetière (la),","ferme, commune de Marigny.",Marigny
DT37-01133,"Bassins (le lieu des),","commune de Pouzay, près du chemin de Chenevelles à la Houdrière.",Chenevelles
DT37-01139,"Bastonelle (le lieu de la),","commune de Charnizay, près de la ferme des Portes.",Portes
DT37-01143,"Bas-Village (le),","ferme, commune de Marigny.",Marigny
DT37-01149,"Batailles (le lieu des),","près du Colombier, commune de Neuillé-le-Lierre.",Colombier
