Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT73-00288,Arrondaz,,Bardonèche,,entre Modane et Bardonèche (Italie) par Fourneaux et le col de Fréjus.
DT73-00288,Arrondaz,,col de Fréjus,,entre Modane et Bardonèche (Italie) par Fourneaux et le col de Fréjus.
DT73-00292,Arses,,col du Mont-Iseran,,"sur Bonneval, entre le col du Mont-Iseran et le col de Séa."
DT73-00292,Arses,,col de Séa,,"sur Bonneval, entre le col du Mont-Iseran et le col de Séa."
DT73-00295,Arvan,,vallée des Arves,,"prend sa source dans les glaciers du Mont Goléon (altitude, 3.429 mètres), parcourt la vallée des Arves en arrosant Saint-Sorlin-d'Arves, Saint-Jean-d'Arves, Montrond, et se jette dans l’Arc au-dessous de Saint-Jean-de-Maurienne."
DT73-00295,Arvan,,au-dessous de Saint-Jean-de-Maurienne,,"prend sa source dans les glaciers du Mont Goléon (altitude, 3.429 mètres), parcourt la vallée des Arves en arrosant Saint-Sorlin-d'Arves, Saint-Jean-d'Arves, Montrond, et se jette dans l’Arc au-dessous de Saint-Jean-de-Maurienne."
DT73-00298,Arve,,Mont-Blanc,,a son origine au Mont-Blanc et communique par le passage du Bonhomme avec les cols de la Seigne et du Petit-Saint-Bernard.
DT73-00298,Arve,,passage du Bonhomme,,a son origine au Mont-Blanc et communique par le passage du Bonhomme avec les cols de la Seigne et du Petit-Saint-Bernard.
DT73-00298,Arve,,cols de la Seigne et du Petit-Saint-Bernard,,a son origine au Mont-Blanc et communique par le passage du Bonhomme avec les cols de la Seigne et du Petit-Saint-Bernard.
DT73-00300,Arves,,vallée de l’Arc,,"dans le bassin de Saint-Jean-de-Maurienne et la vallée de l’Arc, sur les limites de la Maurienne et des Hautes-Alpes, près du col Lombard."
DT73-00300,Arves,,Maurienne,,"dans le bassin de Saint-Jean-de-Maurienne et la vallée de l’Arc, sur les limites de la Maurienne et des Hautes-Alpes, près du col Lombard."
DT73-00300,Arves,,Hautes-Alpes,,"dans le bassin de Saint-Jean-de-Maurienne et la vallée de l’Arc, sur les limites de la Maurienne et des Hautes-Alpes, près du col Lombard."
DT73-00301,Arves,,mont Charvin,,dominé au sud par le mont Charvin ; embrasse la chaîne de la Maurienne depuis le mont des Encombres jusqu’au glacier de l’Argentière ; fait communiquer la vallée de l’Arc avec celle du Haut-Arvan et communique lui-même avec le col de l’Ouillon en suivant la crête de la montagne du Corbier et avec les cols de la Croix-de-Fer et du Glandon.
DT73-00301,Arves,,chaîne de la Maurienne,,dominé au sud par le mont Charvin ; embrasse la chaîne de la Maurienne depuis le mont des Encombres jusqu’au glacier de l’Argentière ; fait communiquer la vallée de l’Arc avec celle du Haut-Arvan et communique lui-même avec le col de l’Ouillon en suivant la crête de la montagne du Corbier et avec les cols de la Croix-de-Fer et du Glandon.
DT73-00301,Arves,,mont des Encombres,,dominé au sud par le mont Charvin ; embrasse la chaîne de la Maurienne depuis le mont des Encombres jusqu’au glacier de l’Argentière ; fait communiquer la vallée de l’Arc avec celle du Haut-Arvan et communique lui-même avec le col de l’Ouillon en suivant la crête de la montagne du Corbier et avec les cols de la Croix-de-Fer et du Glandon.
DT73-00301,Arves,,vallée de l’Arc,,dominé au sud par le mont Charvin ; embrasse la chaîne de la Maurienne depuis le mont des Encombres jusqu’au glacier de l’Argentière ; fait communiquer la vallée de l’Arc avec celle du Haut-Arvan et communique lui-même avec le col de l’Ouillon en suivant la crête de la montagne du Corbier et avec les cols de la Croix-de-Fer et du Glandon.
